sales_region_code,item_code,first_cate_code,second_cate_code,order_date,ord_qty
101,20002,303,406,2017-08-31,4
101,20002,303,406,2018-03-31,17
101,20002,303,406,2018-04-30,124
101,20002,303,406,2018-05-31,110
101,20002,303,406,2018-06-30,77
101,20002,303,406,2018-07-31,74
101,20002,303,406,2018-08-31,31
101,20002,303,406,2018-09-30,45
101,20002,303,406,2018-10-31,19
101,20002,303,406,2018-11-30,36
101,20002,303,406,2018-12-31,56
101,20003,301,405,2017-01-31,510
101,20003,301,405,2017-02-28,129
101,20003,301,405,2017-03-31,15
101,20003,301,405,2017-04-30,197
101,20003,301,405,2017-05-31,619
101,20003,301,405,2017-06-30,50
101,20003,301,405,2017-07-31,128
101,20003,301,405,2017-08-31,403
101,20003,301,405,2017-09-30,309
101,20003,301,405,2017-10-31,695
101,20003,301,405,2017-11-30,402
101,20003,301,405,2017-12-31,629
101,20003,301,405,2018-01-31,534
101,20003,301,405,2018-02-28,267
101,20003,301,405,2018-03-31,1748
101,20003,301,405,2018-04-30,435
101,20003,301,405,2018-05-31,1440
101,20003,301,405,2018-06-30,768
101,20003,301,405,2018-07-31,135
101,20003,301,405,2018-08-31,164
101,20003,301,405,2018-09-30,93
101,20003,301,405,2018-10-31,661
101,20003,301,405,2018-12-31,85
101,20006,307,403,2017-01-31,44
101,20006,307,403,2017-02-28,14
101,20006,307,403,2017-03-31,14
101,20006,307,403,2017-04-30,104
101,20006,307,403,2017-05-31,132
101,20006,307,403,2017-06-30,42
101,20006,307,403,2017-07-31,46
101,20006,307,403,2017-08-31,138
101,20006,307,403,2017-09-30,90
101,20006,307,403,2017-10-31,299
101,20006,307,403,2017-11-30,212
101,20006,307,403,2017-12-31,103
101,20006,307,403,2018-01-31,515
101,20006,307,403,2018-02-28,41
101,20006,307,403,2018-03-31,662
101,20006,307,403,2018-04-30,74
101,20006,307,403,2018-05-31,482
101,20006,307,403,2018-06-30,19
101,20006,307,403,2018-07-31,356
101,20006,307,403,2018-08-31,150
101,20006,307,403,2018-09-30,109
101,20006,307,403,2018-10-31,112
101,20006,307,403,2018-11-30,25
101,20006,307,403,2018-12-31,119
101,20014,307,403,2017-03-31,428
101,20014,307,403,2017-04-30,4294
101,20014,307,403,2017-05-31,4582
101,20014,307,403,2017-06-30,10698
101,20014,307,403,2017-07-31,5870
101,20014,307,403,2017-08-31,15055
101,20014,307,403,2017-09-30,5142
101,20014,307,403,2017-10-31,6632
101,20014,307,403,2017-11-30,4063
101,20014,307,403,2017-12-31,8327
101,20014,307,403,2018-01-31,8161
101,20014,307,403,2018-02-28,3656
101,20014,307,403,2018-03-31,2816
101,20014,307,403,2018-04-30,947
101,20014,307,403,2018-05-31,14
101,20014,307,403,2018-06-30,2
101,20014,307,403,2018-09-30,16
101,20014,307,403,2018-10-31,123
101,20016,303,401,2016-11-30,627
101,20016,303,401,2016-12-31,1575
101,20016,303,401,2017-01-31,1668
101,20016,303,401,2017-02-28,3383
101,20016,303,401,2017-03-31,6219
101,20016,303,401,2017-04-30,3881
101,20016,303,401,2017-05-31,2083
101,20016,303,401,2017-06-30,2992
101,20016,303,401,2017-07-31,1912
101,20016,303,401,2017-08-31,1426
101,20016,303,401,2017-09-30,1552
101,20016,303,401,2017-10-31,738
101,20016,303,401,2017-11-30,346
101,20016,303,401,2017-12-31,566
101,20016,303,401,2018-01-31,374
101,20016,303,401,2018-02-28,553
101,20016,303,401,2018-03-31,444
101,20016,303,401,2018-04-30,1603
101,20016,303,401,2018-05-31,785
101,20016,303,401,2018-06-30,729
101,20016,303,401,2018-07-31,460
101,20016,303,401,2018-08-31,758
101,20016,303,401,2018-09-30,930
101,20016,303,401,2018-10-31,568
101,20016,303,401,2018-11-30,1057
101,20016,303,401,2018-12-31,193
101,20018,306,407,2017-12-31,203
101,20018,306,407,2018-01-31,7222
101,20018,306,407,2018-02-28,1325
101,20018,306,407,2018-03-31,14528
101,20018,306,407,2018-04-30,7757
101,20018,306,407,2018-05-31,437
101,20018,306,407,2018-06-30,1000
101,20018,306,407,2018-07-31,1633
101,20018,306,407,2018-08-31,1604
101,20018,306,407,2018-09-30,1406
101,20018,306,407,2018-10-31,1711
101,20018,306,407,2018-11-30,2341
101,20018,306,407,2018-12-31,535
101,20020,305,412,2015-09-30,265
101,20020,305,412,2015-10-31,127
101,20020,305,412,2015-11-30,861
101,20020,305,412,2015-12-31,921
101,20020,305,412,2016-01-31,993
101,20020,305,412,2016-02-29,101
101,20020,305,412,2016-03-31,129
101,20020,305,412,2016-04-30,57
101,20020,305,412,2016-05-31,264
101,20020,305,412,2016-06-30,158
101,20020,305,412,2016-07-31,36
101,20020,305,412,2016-08-31,93
101,20020,305,412,2016-09-30,95
101,20020,305,412,2016-10-31,178
101,20020,305,412,2016-11-30,29
101,20020,305,412,2016-12-31,590
101,20020,305,412,2017-01-31,148
101,20020,305,412,2017-02-28,76
101,20020,305,412,2017-03-31,73
101,20020,305,412,2017-04-30,141
101,20020,305,412,2017-05-31,93
101,20020,305,412,2017-07-31,35
101,20020,305,412,2017-08-31,14
101,20020,305,412,2017-09-30,54
101,20020,305,412,2017-10-31,37
101,20020,305,412,2017-11-30,36
101,20020,305,412,2017-12-31,38
101,20020,305,412,2018-01-31,31
101,20020,305,412,2018-02-28,19
101,20020,305,412,2018-03-31,34
101,20020,305,412,2018-04-30,5
101,20020,305,412,2018-05-31,9
101,20020,305,412,2018-06-30,8
101,20020,305,412,2018-08-31,4
101,20020,305,412,2018-09-30,6
101,20020,305,412,2018-12-31,4
